VIN,Model,Trim,MSRP,Year,Term,ModelNumber,ModelDescription,LeaseCash,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Residual
,,,,2025,24,49452FT5,4dr Sdn N-Line,0,0.00213,0.00213,0.00226,0.00239,0.00252,0.00266,0.00287,-,0.74
,,,,2025,24,494E2F4S,4dr Sdn SE,500,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.73
,,,,2025,24,494G2F4S,4dr Sdn SEL Sport,1000,0.00219,0.00219,0.00232,0.00245,0.00258,0.00272,0.00293,-,0.7
,,,,2025,24,494H2F4S,4dr Sdn SEL Convenience,1500,0.00212,0.00212,0.00225,0.00238,0.00251,0.00265,0.00286,-,0.68
,,,,2025,24,494J2F4S,4dr Sdn Limited,750,0.00223,0.00223,0.00236,0.00249,0.00262,0.00276,0.00297,-,0.72
,,,,2025,36,49452FT5,4dr Sdn N-Line,0,0.0026,0.0026,0.00278,0.00291,0.00309,0.00322,0.00329,0.00374,0.66
,,,,2025,36,494E2F4S,4dr Sdn SE,250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,0.00374,0.67
,,,,2025,36,494G2F4S,4dr Sdn SEL Sport,1250,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,0.00374,0.63
,,,,2025,36,494H2F4S,4dr Sdn SEL Convenience,500,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,0.00374,0.66
,,,,2025,36,494J2F4S,4dr Sdn Limited,750,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,0.00374,0.64
,,,,2025,39,49452FT5,4dr Sdn N-Line,750,0.00253,0.00253,0.00271,0.00284,0.00302,0.00315,0.00322,-,0.63
,,,,2025,39,494E2F4S,4dr Sdn SE,1750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.57
,,,,2025,39,494G2F4S,4dr Sdn SEL Sport,1000,0.00253,0.00253,0.00271,0.00284,0.00302,0.00315,0.00322,-,0.6
,,,,2025,39,494H2F4S,4dr Sdn SEL Convenience,2000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.57
,,,,2025,39,494J2F4S,4dr Sdn Limited,1250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.61
,,,,2025,48,49452FT5,4dr Sdn N-Line,0,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,0.00441,0.58
,,,,2025,48,494E2F4S,4dr Sdn SE,1250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,0.00441,0.52
,,,,2025,48,494G2F4S,4dr Sdn SEL Sport,500,0.00297,0.00297,0.00317,0.00334,0.0036,0.00374,0.00388,0.00441,0.55
,,,,2025,48,494H2F4S,4dr Sdn SEL Convenience,250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,0.00441,0.56
,,,,2025,48,494J2F4S,4dr Sdn Limited,0,0.00291,0.00291,0.00311,0.00328,0.00354,0.00368,0.00382,0.00441,0.57
,,,,2025,24,494B2FBS,4dr Sdn HEV SEL Sport,500,0.00105,0.00105,0.00118,0.00131,0.00144,0.00158,0.00179,-,0.66
,,,,2025,24,494C2FBS,4dr Sdn HEV Blue,500,0.00189,0.00189,0.00202,0.00215,0.00228,0.00242,0.00263,-,0.69
,,,,2025,24,494D2FBS,4dr Sdn HEV Limited,500,0.00144,0.00144,0.00157,0.0017,0.00183,0.00197,0.00218,-,0.69
,,,,2025,36,494B2FBS,4dr Sdn HEV SEL Sport,250,0.00225,0.00225,0.00243,0.00256,0.00274,0.00287,0.00294,-,0.6
,,,,2025,36,494C2FBS,4dr Sdn HEV Blue,250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.62
,,,,2025,36,494D2FBS,4dr Sdn HEV Limited,250,0.0026,0.0026,0.00278,0.00291,0.00309,0.00322,0.00329,-,0.64
,,,,2025,39,494B2FBS,4dr Sdn HEV SEL Sport,0,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,-,0.59
,,,,2025,39,494C2FBS,4dr Sdn HEV Blue,250,0.00276,0.00276,0.00294,0.00307,0.00325,0.00338,0.00345,-,0.59
,,,,2025,39,494D2FBS,4dr Sdn HEV Limited,0,0.00272,0.00272,0.0029,0.00303,0.00321,0.00334,0.00341,-,0.62
,,,,2025,48,494B2FBS,4dr Sdn HEV SEL Sport,500,0.00271,0.00271,0.00291,0.00308,0.00334,0.00348,0.00362,-,0.51
,,,,2025,48,494C2FBS,4dr Sdn HEV Blue,500,0.00293,0.00293,0.00313,0.0033,0.00356,0.0037,0.00384,-,0.53
,,,,2025,48,494D2FBS,4dr Sdn HEV Limited,500,0.00264,0.00264,0.00284,0.00301,0.00327,0.00341,0.00355,-,0.53
,,,,2025,36,4N4A2FT5,4dr N DCT,0,0.00258,0.00294,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.6
,,,,2025,36,4N4A3FT5,4dr N MT,0,0.00258,0.00294,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.59
,,,,2025,39,4N4A2FT5,4dr N DCT,0,0.00258,0.00294,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.57
,,,,2025,39,4N4A3FT5,4dr N MT,0,0.00258,0.00294,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.56
,,,,2025,48,4N4A2FT5,4dr N DCT,0,0.00302,0.00335,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.48
,,,,2025,48,4N4A3FT5,4dr N MT,0,0.00302,0.00335,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.48
,,,,2025,24,50402REZ,4dr Wgn SE (Standard Range),16000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.52
,,,,2025,24,50412AEZ,4dr Wgn SE,15750,0.00233,0.00233,0.00246,0.00259,0.00272,0.00286,0.00307,-,0.58
,,,,2025,24,50412REZ,4dr Wgn SE,16000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.56
,,,,2025,24,50442AEZ,4dr Wgn SEL,17000,0.00236,0.00236,0.00249,0.00262,0.00275,0.00289,0.0031,-,0.58
,,,,2025,24,50442REZ,4dr Wgn SEL,16750,0.00228,0.00228,0.00241,0.00254,0.00267,0.00281,0.00302,-,0.57
,,,,2025,24,50452AEZ,4dr Wgn XRT,16750,0.00234,0.00234,0.00247,0.0026,0.00273,0.00287,0.00308,-,0.59
,,,,2025,24,50462AEZ,4dr Wgn Limited,17750,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.57
,,,,2025,24,50462REZ,4dr Wgn Limited,15750,0.0022,0.0022,0.00233,0.00246,0.00259,0.00273,0.00294,-,0.59
,,,,2025,24,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,16750,0.00234,0.00234,0.00247,0.0026,0.00273,0.00287,0.00308,-,0.59
,,,,2025,24,51402REZ,4dr Wgn SE (Standard Range),16000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.52
,,,,2025,24,51412AEZ,4dr Wgn SE,15750,0.00233,0.00233,0.00246,0.00259,0.00272,0.00286,0.00307,-,0.58
,,,,2025,24,51412REZ,4dr Wgn SE,16000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.56
,,,,2025,24,51442AEZ,4dr Wgn SEL,17000,0.00236,0.00236,0.00249,0.00262,0.00275,0.00289,0.0031,-,0.58
,,,,2025,24,51442REZ,4dr Wgn SEL,16750,0.00228,0.00228,0.00241,0.00254,0.00267,0.00281,0.00302,-,0.57
,,,,2025,24,51452AEZ,4dr Wgn XRT,16750,0.00234,0.00234,0.00247,0.0026,0.00273,0.00287,0.00308,-,0.59
,,,,2025,24,51462AEZ,4dr Wgn Limited,17750,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.57
,,,,2025,24,51462REZ,4dr Wgn Limited,15750,0.0022,0.0022,0.00233,0.00246,0.00259,0.00273,0.00294,-,0.59
,,,,2025,24,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,16750,0.00234,0.00234,0.00247,0.0026,0.00273,0.00287,0.00308,-,0.59
,,,,2025,36,50402REZ,4dr Wgn SE (Standard Range),15750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.45
,,,,2025,36,50412AEZ,4dr Wgn SE,15750,0.00257,0.00257,0.00275,0.00288,0.00306,0.00319,0.00326,-,0.5
,,,,2025,36,50412REZ,4dr Wgn SE,15000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.5
,,,,2025,36,50442AEZ,4dr Wgn SEL,15500,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.53
,,,,2025,36,50442REZ,4dr Wgn SEL,15250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.52
,,,,2025,36,50452AEZ,4dr Wgn XRT,15250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.53
,,,,2025,36,50462AEZ,4dr Wgn Limited,16750,0.0025,0.0025,0.00268,0.00281,0.00299,0.00312,0.00319,-,0.52
,,,,2025,36,50462REZ,4dr Wgn Limited,16000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.52
,,,,2025,36,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,15500,0.00251,0.00251,0.00269,0.00282,0.003,0.00313,0.0032,-,0.52
,,,,2025,36,51402REZ,4dr Wgn SE (Standard Range),15750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.45
,,,,2025,36,51412AEZ,4dr Wgn SE,15750,0.00257,0.00257,0.00275,0.00288,0.00306,0.00319,0.00326,-,0.5
,,,,2025,36,51412REZ,4dr Wgn SE,15000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.5
,,,,2025,36,51442AEZ,4dr Wgn SEL,15500,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.53
,,,,2025,36,51442REZ,4dr Wgn SEL,15250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.52
,,,,2025,36,51452AEZ,4dr Wgn XRT,15250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.53
,,,,2025,36,51462AEZ,4dr Wgn Limited,16750,0.0025,0.0025,0.00268,0.00281,0.00299,0.00312,0.00319,-,0.52
,,,,2025,36,51462REZ,4dr Wgn Limited,16000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.52
,,,,2025,36,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,15500,0.00251,0.00251,0.00269,0.00282,0.003,0.00313,0.0032,-,0.52
,,,,2025,39,50402REZ,4dr Wgn SE (Standard Range),14000,0.00261,0.00261,0.00279,0.00292,0.0031,0.00323,0.0033,-,0.45
,,,,2025,39,50412AEZ,4dr Wgn SE,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.49
,,,,2025,39,50412REZ,4dr Wgn SE,14000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.47
,,,,2025,39,50442AEZ,4dr Wgn SEL,14000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,-,0.49
,,,,2025,39,50442REZ,4dr Wgn SEL,14250,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00325,-,0.49
,,,,2025,39,50452AEZ,4dr Wgn XRT,14250,0.00252,0.00252,0.0027,0.00283,0.00301,0.00314,0.00321,-,0.49
,,,,2025,39,50462AEZ,4dr Wgn Limited,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.49
,,,,2025,39,50462REZ,4dr Wgn Limited,12750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.51
,,,,2025,39,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,13500,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.5
,,,,2025,39,51402REZ,4dr Wgn SE (Standard Range),14000,0.00261,0.00261,0.00279,0.00292,0.0031,0.00323,0.0033,-,0.45
,,,,2025,39,51412AEZ,4dr Wgn SE,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.49
,,,,2025,39,51412REZ,4dr Wgn SE,14000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.47
,,,,2025,39,51442AEZ,4dr Wgn SEL,14000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,-,0.49
,,,,2025,39,51442REZ,4dr Wgn SEL,14250,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00325,-,0.49
,,,,2025,39,51452AEZ,4dr Wgn XRT,14250,0.00252,0.00252,0.0027,0.00283,0.00301,0.00314,0.00321,-,0.49
,,,,2025,39,51462AEZ,4dr Wgn Limited,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.49
,,,,2025,39,51462REZ,4dr Wgn Limited,12750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.51
,,,,2025,39,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,13500,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.5
,,,,2025,48,50402REZ,4dr Wgn SE (Standard Range),12250,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.42
,,,,2025,48,50412AEZ,4dr Wgn SE,12250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.46
,,,,2025,48,50412REZ,4dr Wgn SE,12750,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.45
,,,,2025,48,50442AEZ,4dr Wgn SEL,13250,0.00298,0.00298,0.00318,0.00335,0.00361,0.00375,0.00389,-,0.46
,,,,2025,48,50442REZ,4dr Wgn SEL,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.48
,,,,2025,48,50452AEZ,4dr Wgn XRT,12000,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.49
,,,,2025,48,50462AEZ,4dr Wgn Limited,11750,0.00303,0.00303,0.00323,0.0034,0.00366,0.0038,0.00394,-,0.48
,,,,2025,48,50462REZ,4dr Wgn Limited,12500,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.46
,,,,2025,48,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.47
,,,,2025,48,51402REZ,4dr Wgn SE (Standard Range),12250,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.42
,,,,2025,48,51412AEZ,4dr Wgn SE,12250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.46
,,,,2025,48,51412REZ,4dr Wgn SE,12750,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.45
,,,,2025,48,51442AEZ,4dr Wgn SEL,13250,0.00298,0.00298,0.00318,0.00335,0.00361,0.00375,0.00389,-,0.46
,,,,2025,48,51442REZ,4dr Wgn SEL,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.48
,,,,2025,48,51452AEZ,4dr Wgn XRT,12000,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.49
,,,,2025,48,51462AEZ,4dr Wgn Limited,11750,0.00303,0.00303,0.00323,0.0034,0.00366,0.0038,0.00394,-,0.48
,,,,2025,48,51462REZ,4dr Wgn Limited,12500,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.46
,,,,2025,48,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.47
,,,,2025,24,5N4A2AEZ,4dr Wgn N,10250,0.00018,0.00018,0.00031,0.00044,0.00057,0.00071,0.00092,-,0.5
,,,,2025,36,5N4A2AEZ,4dr Wgn N,12500,0.00137,0.00137,0.00155,0.00168,0.00186,0.00199,0.00206,-,0.45
,,,,2025,39,5N4A2AEZ,4dr Wgn N,11750,0.00211,0.00211,0.00229,0.00242,0.0026,0.00273,0.0028,-,0.43
,,,,2025,48,5N4A2AEZ,4dr Wgn N,12250,0.00187,0.00187,0.00207,0.00224,0.0025,0.00264,0.00278,-,0.36
,,,,2025,24,A0412AEZ,4dr Wgn SE,13000,0.00226,0.00226,0.00239,0.00252,0.00265,0.00279,0.00293,-,0.6
,,,,2025,24,A0412REZ,4dr Wgn SE,10750,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00311,-,0.64
,,,,2025,24,A0442AEZ,4dr Wgn SEL,15500,0.00231,0.00231,0.00244,0.00257,0.0027,0.00284,0.00298,-,0.57
,,,,2025,24,A0442REZ,4dr Wgn SEL,14250,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00311,-,0.58
,,,,2025,24,A0462AEZ,4dr Wgn Limited,15750,0.00228,0.00228,0.00241,0.00254,0.00267,0.00281,0.00295,-,0.57
,,,,2025,24,A0462REZ,4dr Wgn Limited,14250,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00311,-,0.59
,,,,2025,24,A0492REZ,4dr Wgn SE (Standard Range),11750,0.00231,0.00231,0.00244,0.00257,0.0027,0.00284,0.00298,-,0.57
,,,,2025,36,A0412AEZ,4dr Wgn SE,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.51
,,,,2025,36,A0412REZ,4dr Wgn SE,11250,0.00255,0.00255,0.00273,0.00286,0.00304,0.00317,0.0033,-,0.56
,,,,2025,36,A0442AEZ,4dr Wgn SEL,14000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.5
,,,,2025,36,A0442REZ,4dr Wgn SEL,12000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.54
,,,,2025,36,A0462AEZ,4dr Wgn Limited,14250,0.00254,0.00254,0.00272,0.00285,0.00303,0.00316,0.00329,-,0.5
,,,,2025,36,A0462REZ,4dr Wgn Limited,14000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00334,-,0.52
,,,,2025,36,A0492REZ,4dr Wgn SE (Standard Range),11250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.51
,,,,2025,39,A0412AEZ,4dr Wgn SE,11000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00334,-,0.51
,,,,2025,39,A0412REZ,4dr Wgn SE,10250,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00331,-,0.53
,,,,2025,39,A0442AEZ,4dr Wgn SEL,12000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.5
,,,,2025,39,A0442REZ,4dr Wgn SEL,11250,0.00253,0.00253,0.00271,0.00284,0.00302,0.00315,0.00328,-,0.49
,,,,2025,39,A0462AEZ,4dr Wgn Limited,12000,0.00257,0.00257,0.00275,0.00288,0.00306,0.00319,0.00332,-,0.48
,,,,2025,39,A0462REZ,4dr Wgn Limited,11750,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00331,-,0.5
,,,,2025,39,A0492REZ,4dr Wgn SE (Standard Range),10750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.46
,,,,2025,48,A0412AEZ,4dr Wgn SE,10500,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.5
,,,,2025,48,A0412REZ,4dr Wgn SE,10000,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.51
,,,,2025,48,A0442AEZ,4dr Wgn SEL,11000,0.00303,0.00303,0.00323,0.0034,0.00366,0.0038,0.00394,-,0.48
,,,,2025,48,A0442REZ,4dr Wgn SEL,10750,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.48
,,,,2025,48,A0462AEZ,4dr Wgn Limited,10000,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00412,-,0.48
,,,,2025,48,A0462REZ,4dr Wgn Limited,10250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00412,-,0.5
,,,,2025,48,A0492REZ,4dr Wgn SE (Standard Range),9250,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.46
,,,,2026,24,74412REZ,S RWD,7500,0.0024,0.0024,0.00253,0.00266,0.00279,0.00293,0.00314,-,0.71
,,,,2026,24,74432AEZ,SE AWD,7500,0.00206,0.00206,0.00219,0.00232,0.00245,0.00259,0.0028,-,0.71
,,,,2026,24,74452AEZ,SEL AWD,7500,0.00225,0.00225,0.00238,0.00251,0.00264,0.00278,0.00299,-,0.72
,,,,2026,24,74472AEZ,Performance Limited AWD,7500,0.00208,0.00208,0.00221,0.00234,0.00247,0.00261,0.00282,-,0.71
,,,,2026,24,74492AEZ,Performance Calligraphy AWD,7500,0.00213,0.00213,0.00226,0.00239,0.00252,0.00266,0.00287,-,0.7
,,,,2026,24,744A2AEZ,Performance    Calligraphy    Design AWD,7500,0.00199,0.00199,0.00212,0.00225,0.00238,0.00252,0.00273,-,0.69
,,,,2026,36,74412REZ,S RWD,10500,0.0023,0.0023,0.00248,0.00261,0.00279,0.00292,0.00299,-,0.61
,,,,2026,36,74432AEZ,SE AWD,12000,0.00253,0.00253,0.00271,0.00284,0.00302,0.00315,0.00322,-,0.61
,,,,2026,36,74452AEZ,SEL AWD,12000,0.0023,0.0023,0.00248,0.00261,0.00279,0.00292,0.00299,-,0.6
,,,,2026,36,74472AEZ,Performance Limited AWD,12000,0.00246,0.00246,0.00264,0.00277,0.00295,0.00308,0.00315,-,0.6
,,,,2026,36,74492AEZ,Performance Calligraphy AWD,12500,0.00281,0.00281,0.00299,0.00312,0.0033,0.00343,0.0035,-,0.59
,,,,2026,36,744A2AEZ,Performance    Calligraphy    Design AWD,10500,0.0024,0.0024,0.00258,0.00271,0.00289,0.00302,0.00309,-,0.59
,,,,2026,39,74412REZ,S RWD,10000,0.00277,0.00277,0.00295,0.00308,0.00326,0.00339,0.00346,-,0.57
,,,,2026,39,74432AEZ,SE AWD,10000,0.00226,0.00226,0.00244,0.00257,0.00275,0.00288,0.00295,-,0.56
,,,,2026,39,74452AEZ,SEL AWD,10000,0.00222,0.00222,0.0024,0.00253,0.00271,0.00284,0.00291,-,0.56
,,,,2026,39,74472AEZ,Performance Limited AWD,10000,0.00237,0.00237,0.00255,0.00268,0.00286,0.00299,0.00306,-,0.56
,,,,2026,39,74492AEZ,Performance Calligraphy AWD,11000,0.00286,0.00286,0.00304,0.00317,0.00335,0.00348,0.00355,-,0.55
,,,,2026,39,744A2AEZ,Performance    Calligraphy    Design AWD,11000,0.00283,0.00283,0.00301,0.00314,0.00332,0.00345,0.00352,-,0.54
,,,,2026,48,74412REZ,S RWD,9000,0.00283,0.00283,0.00303,0.0032,0.00346,0.0036,0.00374,-,0.47
,,,,2026,48,74432AEZ,SE AWD,9000,0.00248,0.00248,0.00268,0.00285,0.00311,0.00325,0.00339,-,0.47
,,,,2026,48,74452AEZ,SEL AWD,9000,0.00229,0.00229,0.00249,0.00266,0.00292,0.00306,0.0032,-,0.46
,,,,2026,48,74472AEZ,Performance Limited AWD,9000,0.00246,0.00246,0.00266,0.00283,0.00309,0.00323,0.00337,-,0.46
,,,,2026,48,74492AEZ,Performance Calligraphy AWD,9000,0.00275,0.00275,0.00295,0.00312,0.00338,0.00352,0.00366,-,0.45
,,,,2026,48,744A2AEZ,Performance    Calligraphy    Design AWD,9000,0.00291,0.00291,0.00311,0.00328,0.00354,0.00368,0.00382,-,0.45
,,,,2025,24,Q1402A45,4dr Wgn SE,1250,0.00222,0.00222,0.00235,0.00248,0.00261,0.00275,0.00296,-,0.69
,,,,2025,24,Q1402F45,4dr Wgn SE,2000,0.00216,0.00216,0.00229,0.00242,0.00255,0.00269,0.0029,-,0.65
,,,,2025,24,Q1432A45,4dr Wgn SEL,1000,0.00211,0.00211,0.00224,0.00237,0.0025,0.00264,0.00285,-,0.69
,,,,2025,24,Q1432F45,4dr Wgn SEL,1750,0.00226,0.00226,0.00239,0.00252,0.00265,0.00279,0.003,-,0.66
,,,,2025,24,Q1442A45,4dr Wgn SEL Convenience,1250,0.00218,0.00218,0.00231,0.00244,0.00257,0.00271,0.00292,-,0.69
,,,,2025,24,Q1442F45,4dr Wgn SEL Convenience,1000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.7
,,,,2025,24,Q1452AT5,4dr Wgn N Line S,2000,0.00223,0.00223,0.00236,0.00249,0.00262,0.00276,0.00297,-,0.67
,,,,2025,24,Q1452FT5,4dr Wgn N Line S,2000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.66
,,,,2025,24,Q1462AT5,4dr Wgn N Line,1750,0.0022,0.0022,0.00233,0.00246,0.00259,0.00273,0.00294,-,0.69
,,,,2025,24,Q1462FT5,4dr Wgn N Line,1250,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.7
,,,,2025,24,Q1492AT5,4dr Wgn Limited,1000,0.0023,0.0023,0.00243,0.00256,0.00269,0.00283,0.00304,-,0.73
